cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss
0,37.085,0.04596628728998169,-0.0005792217
1,38.576,0.04639417683178445,-0.00012139103
2,38.146,0.04647161089004077,-0.00039142364
3,40.459,0.04682162695299276,-0.00076942623
4,41.245,0.04704394957894144,-0.00021132195
5,41.626,0.046995186062887,-0.00027970754
6,42.758,0.04733888248944773,-0.00018824526
7,43.927,0.047386588909752204,-0.00018538765
8,44.508,0.047642931867481475,-8.7517394e-05
9,44.575,0.04752922519220723,-0.00027736314
10,44.808,0.04762725021518994,-0.00017732933
11,44.606,0.047411577335399066,-0.00016120527
12,44.842,0.04738804390306791,-9.237484e-05
13,46.123,0.047543170435333675,-0.00010162315
14,46.015,0.04739288254701876,-8.98054e-05
15,47.288,0.04747477632780482,-0.00013820568
16,46.17,0.04736958186905949,1.4293488e-05
17,47.007,0.047303567207176614,-3.4644978e-05
18,46.816,0.04746319409044386,-1.1375915e-05
19,46.93,0.04748664828973055,-6.592311e-05
20,47.852,0.04740025922830876,-6.671756e-05
21,47.059,0.047156326673168755,-0.000131815
22,47.752,0.04723610809619811,-8.772282e-05
23,47.439,0.04716443955980826,-7.1772825e-05
24,48.76,0.047033345301362925,-6.1030238e-05
25,48.436,0.04709356278611303,-9.5352996e-05
26,49.108,0.04693594064319569,-9.58864e-05
27,48.746,0.047002549207045205,-3.2892975e-05
28,48.733,0.046809257841675646,-8.273102e-05
29,49.526,0.04701090883386398,-7.965179e-06
30,49.341,0.046975980453032064,-1.9338126e-05
31,49.438,0.04717578057324682,-5.7950285e-05
32,48.761,0.04675213986881488,-0.00012274929
33,50.615,0.04686629640075635,-4.5030465e-05
34,50.755,0.047077473504463535,-8.4375475e-05
35,50.754,0.04648538445608699,-9.37861e-05
36,50.271,0.04681946567868273,-4.0831175e-05
37,50.423,0.04661631370402059,-8.152992e-05
38,50.376,0.046766859002503554,-3.666583e-05
