cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss
0,37.085,0.04596628728998169,-0.0005792217
1,38.576,0.04639417683178445,-0.00012139103
2,38.146,0.04647161089004077,-0.00039142364
3,40.459,0.04682162695299276,-0.00076942623
4,41.245,0.04704394957894144,-0.00021132195
5,41.626,0.046995186062887,-0.00027970754
6,42.758,0.04733888248944773,-0.00018824526
7,43.927,0.047386588909752204,-0.00018538765
8,44.508,0.047642931867481475,-8.7517394e-05
9,44.575,0.04752922519220723,-0.00027736314
10,44.808,0.04762725021518994,-0.00017732933
11,44.606,0.047411577335399066,-0.00016120527
12,44.842,0.04738804390306791,-9.237484e-05
13,46.123,0.047543170435333675,-0.00010162315
14,46.015,0.04739288254701876,-8.98054e-05
15,47.288,0.04747477632780482,-0.00013820568
16,46.17,0.04736958186905949,1.4293488e-05
17,47.007,0.047303567207176614,-3.4644978e-05
18,46.816,0.04746319409044386,-1.1375915e-05
19,46.93,0.04748664828973055,-6.592311e-05
20,47.852,0.04740025922830876,-6.671756e-05
21,47.059,0.047156326673168755,-0.000131815
22,47.752,0.04723610809619811,-8.772282e-05
23,47.439,0.04716443955980826,-7.1772825e-05
24,48.76,0.047033345301362925,-6.1030238e-05
25,48.436,0.04709356278611303,-9.5352996e-05
26,49.108,0.04693594064319569,-9.58864e-05
27,48.746,0.047002549207045205,-3.2892975e-05
28,48.733,0.046809257841675646,-8.273102e-05
29,49.526,0.04701090883386398,-7.965179e-06
30,49.341,0.046975980453032064,-1.9338126e-05
31,49.438,0.04717578057324682,-5.7950285e-05
32,48.761,0.04675213986881488,-0.00012274929
33,50.615,0.04686629640075635,-4.5030465e-05
34,50.755,0.047077473504463535,-8.4375475e-05
35,50.754,0.04648538445608699,-9.37861e-05
36,50.271,0.04681946567868273,-4.0831175e-05
37,50.423,0.04661631370402059,-8.152992e-05
38,50.376,0.046766859002503554,-3.666583e-05
39,51.211,0.046988110816476025,-0.00010848725
40,51.585,0.04677774484108155,-2.1743468e-05
41,52.257,0.04690865486178347,-0.00014604245
42,51.037,0.04691571193387693,-2.6879712e-05
43,51.323,0.04672992149464817,-3.4470155e-05
44,51.425,0.04648976093504836,-4.3312655e-05
45,51.737,0.04673720204403068,-5.334937e-05
46,51.553,0.046871100831278725,-2.869318e-05
47,52.296,0.04687832153456654,-0.0001059244
48,52.673,0.046929885263598856,-7.068191e-05
49,52.684,0.04672780736398333,-8.015953e-05
50,53.545,0.046505773181636643,-0.00023407182
51,54.005,0.04689455727970561,-6.083799e-05
52,54.024,0.046725113991617835,-0.00012229022
53,54.469,0.04683049308217044,-0.000112211754
54,54.633,0.046503160568481305,-0.00012302301
55,55.893,0.046422757396218726,-1.8576797e-05
56,54.707,0.04648870895494993,-6.5367334e-05
57,53.67,0.046566221702586306,-9.540534e-05
58,54.857,0.04675331714151788,-7.2473056e-05
59,55.203,0.04664634009197095,-6.775072e-05
60,54.161,0.04679759809342336,-5.326621e-05
61,55.135,0.046645507078936055,-2.2648604e-05
62,56.081,0.04651860183560905,-3.557896e-05
63,54.902,0.046573828522209655,-4.8920534e-05
64,56.579,0.0463679452994455,-9.8930264e-05
65,56.556,0.046476744203617006,-1.1672683e-05
66,55.952,0.04668124771694649,-4.2254327e-05
67,56.322,0.046519329273008836,-6.282748e-05
68,55.535,0.04667853530527762,-0.00014340058
69,56.395,0.04640402891198708,-0.00010279087
70,56.447,0.04668106638783705,3.053895e-07
71,56.38,0.04657745020343572,-4.0500578e-05
72,56.346,0.04666250517832425,-3.6127993e-05
73,56.656,0.04614914865012457,-1.8309265e-05
74,57.16,0.0465876532323072,-2.243271e-05
75,55.269,0.04662621767133388,-4.3858417e-05
76,56.5,0.04663478483433818,-1.983069e-05
77,56.818,0.046447448534506504,-4.513129e-05
78,56.832,0.046396129102214044,-2.7132995e-05
79,56.652,0.046529427805555225,-3.6462694e-05
80,56.206,0.04654640729652089,-1.5286012e-05
81,56.366,0.046470389378840814,-6.318077e-05
82,56.48,0.046531905520493855,-2.9095367e-05
83,57.795,0.04653331192735992,-4.7485977e-05
84,58.083,0.04639847339030268,-2.9178007e-05
85,57.608,0.04665652791685573,-3.2293397e-06
86,57.55,0.04629148956646202,-4.2840788e-05
87,56.356,0.04664807963845548,-3.0658328e-05
88,56.498,0.046540058708813836,-7.1476743e-06
89,56.812,0.04651573197127431,-5.6575744e-05
90,57.902,0.046462007949235884,6.6046678e-06
91,58.068,0.04643120661344504,-2.3004028e-05
92,56.756,0.04664901685101697,-4.999832e-05
93,57.072,0.046460847789068484,-3.654825e-05
94,57.235,0.04661664213257664,-1.4786987e-06
95,57.332,0.04660700155782347,-3.092242e-05
96,58.383,0.04654133174160755,-9.562837e-06
97,56.987,0.04645761450343438,-4.1191513e-05
98,57.329,0.04687184828556431,-2.1420401e-05
99,57.261,0.04695285368934326,-7.2729155e-05
100,58.262,0.04625032142142088,-3.451448e-05
101,57.893,0.04651149145746502,-6.292584e-05
102,58.944,0.046537909546771714,-9.743554e-05
103,57.754,0.04678505881223095,-2.4194584e-05
104,58.517,0.046562154043397794,-2.4897216e-05
105,59.445,0.04639573522949209,-3.0540414e-05
