cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss
0,71.563,0.043398626958921695,-6.7579225e-05
1,72.183,0.04295503824665348,-5.9958198e-05
2,71.436,0.043345449201817994,-3.515531e-05
3,72.087,0.04313530626203413,-9.161658e-05
4,71.79,0.04314206219730389,-1.1306756e-05
5,71.343,0.04337972215843524,-1.7898714e-05
6,71.68,0.043224262105729515,-2.1197702e-05
7,71.803,0.0431963391944861,-1.348674e-05
8,71.771,0.04312872866642667,-1.877198e-05
9,71.279,0.043358888193633094,-1.1323136e-05
10,71.557,0.04320658670287769,-1.840737e-05
11,71.411,0.0434822023471936,-6.608048e-05
12,71.406,0.04338376087219713,1.22583615e-05
13,71.627,0.04315684505974932,-4.5843415e-05
14,72.059,0.0430733310898289,-2.0585983e-05
15,71.833,0.04318560332628164,-1.9596107e-05
16,71.327,0.043379600909273675,-7.1607055e-06
17,71.05,0.04341479722027209,-7.4029456e-05
18,71.287,0.04345173671014031,-1.7723365e-05
19,71.571,0.043268590807689224,-2.9206194e-05
20,71.736,0.04325214325593744,-4.2518433e-05
21,71.92,0.043118255215776585,-5.1245497e-06
22,70.764,0.04348333563399122,-4.751272e-05
23,70.809,0.04364097314547293,-1.3325851e-05
24,72.305,0.04284011025449024,7.6954274e-07
25,71.935,0.04302773019097968,-5.300894e-05
26,71.698,0.04315827931365649,-4.6316054e-05
27,71.733,0.04309909003759713,-1.3964263e-05
28,72.056,0.043016726595722525,-7.164227e-05
29,71.919,0.04298616368911976,-2.782277e-05
30,72.216,0.04306312926022823,-2.325024e-05
31,71.825,0.04313229084338947,-8.277367e-06
32,71.776,0.043171808538096205,-2.661637e-05
33,71.391,0.04339638911191796,-7.621911e-05
34,71.945,0.0430328645830613,-8.5938824e-05
35,71.33,0.043460310531643724,-3.5122353e-05
36,72.103,0.04299197822795145,-7.265559e-05
37,71.48,0.043211375737007805,-2.2529954e-05
38,71.722,0.04318027622215995,-2.8989874e-05
39,72.07,0.0430166204171897,-3.4868222e-05
40,71.84,0.04331400659585236,-1.4412095e-05
41,71.369,0.04328917065782218,-1.4794079e-05
42,72.321,0.04292208083117784,-6.436577e-07
43,71.65,0.043213050567335896,-3.1568925e-05
44,71.717,0.043141552284241984,-9.9250865e-06
45,72.024,0.04312925769776078,-3.541145e-05
46,71.407,0.043422628907888165,-6.252802e-05
47,71.782,0.04345553333158355,-2.8893544e-05
48,71.341,0.043386791360259976,-7.855202e-06
49,71.741,0.043177172172344465,-3.177047e-05
50,71.524,0.04322620777180806,-6.0447048e-05
51,71.514,0.043335497586961626,-2.0748997e-05
52,71.544,0.043384960994911195,-4.350616e-05
53,71.761,0.04324563842873812,-3.0194054e-05
54,72.024,0.04292165845280092,-6.414871e-06
55,71.998,0.04304095336206283,-2.6160615e-05
56,71.798,0.04312783829089623,-1.1449886e-05
57,72.008,0.04312449140457382,4.7973936e-06
58,71.996,0.04312060928450914,-5.034338e-05
59,72.021,0.04319857720496631,-2.4678378e-05
60,71.292,0.04344855688860396,-3.2379605e-05
61,72.023,0.043078243616211265,-2.6969512e-05
62,72.088,0.043066350727876644,-1.8420906e-05
63,71.53,0.04329741778816194,-2.9918792e-05
64,72.127,0.043069423127844925,-1.8081771e-05
65,71.024,0.043400150701000235,-6.279055e-05
66,71.777,0.04320037258138184,-7.6924036e-05
67,71.694,0.0433162032440769,-5.4134045e-05
68,72.115,0.04293336120984862,-8.108455e-06
69,71.481,0.04327193025616765,-2.9450664e-05
70,71.71,0.04321408405713366,-4.4230834e-05
71,71.775,0.04321049216537644,-6.069355e-06
72,72.089,0.043023060870094915,-5.0908904e-05
73,71.828,0.043062900374873155,-3.0958618e-05
74,71.714,0.04327031759200211,-3.2861575e-05
75,71.521,0.04333918499232259,-1.6320824e-05
76,72.37,0.04298748640833174,-1.7445665e-05
77,71.778,0.04320289066249329,-3.0040124e-05
78,72.176,0.04285886789876553,-5.5299257e-05
79,71.563,0.04339787937999593,-4.4054403e-05
80,71.63,0.043392179563283846,-2.5822685e-05
81,71.623,0.043341803102299965,-5.3656702e-05
82,70.952,0.0436661290483196,-1.3734018e-05
83,71.47,0.04329135566810223,-1.2276363e-06
84,71.33,0.04339105164150341,-1.0974732e-05
85,72.179,0.042985235242213114,-8.391335e-06
86,71.378,0.043398813894605766,-2.4677207e-05
87,71.402,0.04333104086559986,-1.04086375e-05
88,72.053,0.04299691302303314,-1.9665331e-05
89,71.961,0.04306888550966461,-8.161316e-06
90,71.299,0.04338139936938217,-2.6498654e-05
91,71.903,0.04308562397800791,-9.281995e-06
92,72.44,0.04292355924834936,-9.296921e-06
93,72.112,0.042993392867843615,-4.9802522e-05
94,71.563,0.04313271111449505,-4.9885484e-06
95,71.669,0.04309917359049304,-3.2474967e-05
96,71.237,0.043598380472616514,-6.149318e-05
97,71.297,0.043368947167746946,-9.810074e-06
98,71.628,0.04338381854733263,-6.057165e-05
99,72.131,0.043087624580955594,-7.090065e-06
100,72.344,0.042886112719295204,-2.2164573e-05
101,72.105,0.04296530384434873,-2.9810453e-05
102,71.386,0.04334445902583276,-4.8805483e-05
103,71.601,0.04324936832109395,-3.7901184e-05
104,72.061,0.043112918075746604,-5.8218884e-05
105,71.661,0.0432533943062462,-2.0729169e-05
106,71.912,0.043140993172549706,-8.107118e-05
107,72.426,0.04280532713237362,-9.080727e-06
108,72.086,0.04291132073853336,-1.8996881e-05
109,71.85,0.04317373357709388,-1.1763463e-05
110,72.339,0.04276184574267945,-1.7873483e-05
111,71.766,0.04315912124099103,-0.00011615884
112,71.813,0.043114852618904236,-1.7150876e-05
113,71.833,0.0430335342191041,-1.0926147e-05
114,72.095,0.04303425295019667,-2.4123381e-05
115,72.18,0.04306755546866477,-4.5940636e-05
116,71.533,0.04327019646812589,-1.7900124e-05
117,72.128,0.0430947522359699,-5.520035e-06
118,72.079,0.04310808133455365,-4.9943144e-05
119,71.393,0.04340552276072884,-4.4440287e-05
120,71.932,0.0432770298398754,-6.066284e-06
121,71.835,0.04308586478696321,-5.4308686e-05
122,71.51,0.04332062733876505,-1.4037747e-05
123,71.68,0.04317690891604919,3.3620297e-06
124,72.099,0.04305468254646306,-3.0113279e-05
125,71.623,0.04303363757196446,-4.97162e-07
126,71.556,0.043310452515281504,-3.8724243e-05
127,71.722,0.04318959595058158,-3.2565593e-05
128,72.164,0.043036897388025463,-1.6647438e-05
129,71.341,0.043333879508604255,-1.2891998e-05
130,71.928,0.04307509796250356,-2.2200475e-05
131,71.3,0.04334648718920481,-5.2153464e-05
132,72.203,0.04301330191025119,-1.7867722e-05
133,71.965,0.04308273598491169,-5.94227e-05
134,72.372,0.0427540159392336,-5.5716055e-06
135,72.167,0.042973829033256236,-8.462139e-06
136,71.584,0.043275151996101484,-3.256775e-06
137,72.262,0.042841722382432855,-3.3480086e-05
138,72.166,0.04294365810484782,-2.8347353e-05
139,71.929,0.04313815756234602,-3.88311e-05
140,71.246,0.043470206800935225,-7.736848e-06
141,71.747,0.04297300515464577,-2.694391e-05
142,71.76,0.043126364117874745,-1.3091396e-05
143,71.843,0.043099024423219105,-1.2113458e-06
144,72.006,0.04296561170596852,-3.7350728e-06
145,72.125,0.04298825863042312,-4.4701454e-05
146,71.748,0.04326168597471083,1.15192415e-05
